art_style,painting,emotion,utterance,repetition
Baroque,osias-beert_still-life-with-artichokes-1610,excitement,I am excited looking at the food on this table.  It makes me hungry.,6
Impressionism,childe-hassam_rainy-day-paris,contentment,"This is a nice, calm, relaxing picture of a old time town street.",6
Art_Nouveau_Modern,koloman-moser_mermaid-1914,contentment,Who doesn't like to curl up and take a nice nap?,11
Realism,felix-vallotton_my-portrait-1891,sadness,The shadow and grey on one side of this man's face make one side appear to be either injured or older than the other side. The contrast of his skin tone with the black background also make this piece sad.,6
Expressionism,ilka-gedo_rose-garden-with-a-green-background-1981,something else,Board. The green/blue doesn't offer a lot of contrast. Makes it blend together,6
Post_Impressionism,horace-pippin_the-warped-table-still-life-1940,contentment,The most important and basic of things come with nature.,6
Abstract_Expressionism,vasile-dobrian_we-were-so-close-that-nothing-used-to-stand-between-us-from-the-autumn-series,amusement,The leaf in the painting appears to have eyes.,6
Realism,gustave-courbet_the-woman-in-a-podoscaphe-1865,excitement,"she looks like she's having a great time on an adventure, hair whipping through the wind and carefree",6
Symbolism,martiros-saryan_sevan-lake-1929,contentment,This piece is very plain so while I feel content I feel like they could have done more by way of maybe color to the water,6
Post_Impressionism,jacques-villon_the-negro-1899,anger,"This looks very uncomfortable, everyone looks agitated by their facial expressions",11
Symbolism,mikhail-nesterov_youth-of-st-sergius-1897,sadness,The black on the bear make him look hurt.,6
Abstract_Expressionism,ronald-davis_window-1969,amusement,The bright colors make the rectangle look like it is part of a very fun board game,6
Symbolism,mikalojus-ciurlionis_funeral-symphony-i-1903,awe,The green gates in this city are majestic (and remind me of wizard of oz),6
Post_Impressionism,maurice-de-vlaminck_snowstorm,awe,"Absolutely beautiful, the thick strokes give so much personality and movement to the snow.",6
Art_Nouveau_Modern,jacek-malczewski_my-models,contentment,A father and his two sons enjoying a walk together.,6
Rococo,william-hogarth_george-arnold,contentment,the man's jacket and his powdered wig give this work a very formal feel,6
Expressionism,georges-braque_mandolin-glass-pot-and-fruit-1927,something else,"The two yellow yolks to the right of the guitar make me think of breakfast, making me hungry.",12
Abstract_Expressionism,willem-de-kooning_untitled-iii,amusement,This looks like a big yellow hurricane,6
Expressionism,gerard-sekoto_washerwomen,contentment,A couple are doing house chores together.  They are helping each other.,6
Symbolism,nicholas-roerich_ashram-1933,awe,Looking at the amazing size of the sculpture compared to the man is awe inspiring.,5
Romanticism,gustave-dore_the-little-thumb,fear,This is what nightmares bring. I do not like this at all.,6
Baroque,peter-paul-rubens_decius-mus-addressing-the-legions,something else,"While my eye is immediately drawn to the staffs the men are carrying, I am curious as to what the vulture is looking at off-painting.",6
Abstract_Expressionism,sam-francis_indigo-wood-1982,fear,"The painting appears to be a dark sea of faces, like hell.",6
Post_Impressionism,le-pho_fruit-picking,contentment,Cheery yellow flowers and a boy playing on a tree.,6
Abstract_Expressionism,sam-francis_untitled-1978-1,anger,Looks like a crime scene photo.,6
Expressionism,george-bouzianis_houses-in-montmartre-1931,contentment,"If this is a quick draw or a child's work, it's decent.  I can recognize buildings, trees, and the sky, I think.  The style is messy, but somewhat consistent.",6
Baroque,jan-steen_the-way-you-hear-it-1665,something else,the people look like they are having fun,6
Romanticism,fyodor-solntsev_patriarchal-ognennik-clothes-of-archer,fear,They both look like they are up to something sneaky.,6
Impressionism,childe-hassam_avenue-of-the-allies-02,excitement,The bright sunlight makes me feel happy as well as all of the flags blowing in the wind.,6
Realism,ferdinand-hodler_the-student-self-portrait,amusement,"This person's facial expression made me laugh, while he holds out his hand like it's a gun.",6
Abstract_Expressionism,vasile-dobrian_how-sad-the-passing-of-light-through-the-decolletage-of-autumn-from-the-archways-series,something else,Makes me feel warmth like watching a sunset on the lake.,6
Post_Impressionism,jacek-malczewski_poisoned-well-i,awe,Wow the hair looks very realistic. The entire painting does.,6
Abstract_Expressionism,salvador-dali_jesus-carrying-the-cross-1967,fear,I feel fear because of the use of lines and the depiction of the woman who appears to be hurt,11
Abstract_Expressionism,ronnie-landfield_where-the-creek-hits-the-rise-1988,contentment,"I don't know what this is a painting of, but the colors go so well together in the layers that it makes me think of a vast expanse of sky, which is quite nice.",6
Romanticism,gustave-dore_the-angel-raphael-and-the-family-of-tobit,fear,The jagged lines in the sky evoke a sense of creepiness.,6
Baroque,hendrick-terbrugghen_the-calling-of-st-matthew-1,something else,these people talking to Jesus is a regular scene. It is normal.,6
Post_Impressionism,le-pho_portrait-of-a-vietnamese-boy,contentment,I like how this artwork is muted with a pop of red color for the boys shirt.  I also like the bamboo in the background.,6
Realism,gustave-courbet_the-wave-1870-1,fear,"The painting makes me feel fear in thinking of what is absent from the image - where are the boats, the birds, or any life at all?  The enormous wave is dark, gloomy, and destructive, seeking to destroy all that stands in its way and drag it down into a gloomy abyss.",6
Abstract_Expressionism,richard-pousette-dart_white-gothic-no-5-1961,something else,"Dont like this at all, its too messy and looks like a childs crayon drawings",6
Romanticism,gustave-dore_jesus,fear,The man has a scary look on his face and seems dark.,6
Art_Nouveau_Modern,mikhail-vrubel_portrait-of-nadezhda-zabela-vrubel-the-artist-s-wife-in-an-empire-dress-1898,amusement,"The woman's outfit looks crazy to say the least, a bit over the top.",6
Rococo,william-hogarth_strolling-actresses-dressing-in-barn-1738,amusement,"nice drawing, every character has different facial expression",6
Baroque,isaac-van-ostade_traveller-at-a-cottage-door,something else,I feel calmed and cheered at the same time. It appears to be neighbors in a community conversing. I feel welcomed into this painting,6
Impressionism,childe-hassam_adams-and-st-helen-s-early-morning,awe,The mountain coming out of the clouds looks so peaceful and amazing,6
Post_Impressionism,luigi-russolo_perfume-1910,awe,"This reminds me of A Starry Night, the way the colors blend and meld in patches is lovely.",6
Impressionism,childe-hassam_shoveling-snow-new-england,something else,The snow looks very unrealistic and the background is uninspiring.,5
Abstract_Expressionism,sam-francis_untitled-sf76-176-1976,fear,The splatters look like a pool of blood,6
Post_Impressionism,henri-matisse_woman-with-violin-1923,something else,The girl's pose and facial expression along with the muted colors convey an air of discontent or boredom,6
Post_Impressionism,ion-pacea_still-life-with-tazza-and-seashell,anger,The spines of the shell are sharp and pointy and the colors harsh.,6
Realism,gustave-courbet_a-young-woman-reading-1868,excitement,"The figure is oddly arousing, she looks very content on her book.",6
Symbolism,mikalojus-ciurlionis_allegro-sonata-of-the-spring-1907(1),disgust,"The painting looks like it was sloppily done, with little care",6
Expressionism,jackson-pollock_untitled(4),fear,"The white symbol near the center looks eldritch, the stuff surrounding it ancient.",6
Naive_Art_Primitivism,niko-pirosmani_prayer-in-a-village,fear,This piece promotes fear because of the dark colors and religious imagery used.,6
Realism,gustave-courbet_seascape-the-poplar,awe,This makes me feel in awe of how powerful the sea is. The crashing waves suggest a powerful surge and the gloomy sky and water convey a cold and ominous feeling.,6
Impressionism,childe-hassam_hassam-street-in-portsmouth,contentment,"This picture makes me feel like home. Its bright, and makes me think of my childhood",6
Baroque,josefa-de-obidos_natureza-morta-com-frutos-e-flores-1670,amusement,the black seeds on the cut melon look like bugs crawling about,6
Romanticism,henryk-siemiradzki_the-death-of-alexander-nevsky,sadness,it appears the standing men are surrounding the man in the bed on his deathbed,6
Expressionism,filipp-malyavin_farandole-1926,amusement,the bright colors and the happy content looks on the girl's faces,11
Abstract_Expressionism,sam-francis_and-pink-1973,amusement,I feel amused looking at the patterns and colors of this painting,6
Naive_Art_Primitivism,niko-pirosmani_hunter-1907,sadness,"the black in this painting is very depressing. The blood coming from the shot deer is very disturbing, and the entire painting has the feel of death.",6
Abstract_Expressionism,robert-goodnough_untitled-1950,disgust,The abstract flowing nature of the piece makes it disturbingly organic. It's like a pile of bodies.,6
Abstract_Expressionism,walasse-ting_abstract-still-life-1950,something else,I am curious what I am looking at.  What was the artist thinking and going for?,6
Art_Nouveau_Modern,konstantin-korovin_pier-at-the-factory-in-murmansk,contentment,The water looks very still and peaceful and the people look very calm.,6
Impressionism,childe-hassam_girl-in-a-doorway,sadness,The woman in the doorway at the top of the stairs seems so alone and the plain white of her home seems so drab.,6
Romanticism,gustave-dore_barrators-giampolo(1),fear,"The devil man with wings, a tail, and some sort of weapon pushing people into a water",6
Symbolism,martiros-saryan_midday-silence-1924,contentment,I like the serenity feeling of the blue mountains in contracts with the dark yellow sands where the animals are,6
Abstract_Expressionism,richard-pousette-dart_head-of-a-king-1940,fear,The face peeking out of the artwork seems scary.  The colors tend to hide it if you don't look close enough.,6
Expressionism,franz-marc_little-blue-horse-1912,amusement,This either looks like some kid's toy box or some wildness on acid.,6
Art_Nouveau_Modern,nicholas-roerich_lake-village-1915-1,excitement,I love how the grainy painting style makes it almost look like an old photo.,6
Realism,gustave-courbet_la-ferme-de-bonnevaux,fear,The lake or river seems to be littered with skulls.,6
Impressionism,childe-hassam_young-fishermen,contentment,"Very calm because of the slight light shades of colors of the sea and sky, very gentle white clouds are fluffy and comforting",6
Symbolism,nicholas-roerich_himalayas-61,awe,The bright yellow seems to shower the mountains with sunshine.,6
Impressionism,childe-hassam_rue-madeleine-place-de-l-opera,awe,The painting is abstract enough that your mind can fill in the gaps of detail with what you would like to see in the painting.,5
Art_Nouveau_Modern,jacek-malczewski_self-portrait-in-white-dress,awe,The man's posture makes him look serious and powerful.,6
Naive_Art_Primitivism,raoul-dufy_the-casino-of-nice-1929,amusement,the ornate buildings appear to be floating on air above the surface of the water,6
Abstract_Expressionism,sam-francis_untitled-1990-1,amusement,"reds, yellows, blacks and blues  dance across the canvas in this piece i can see shapes in the piece that almost look like colorful animals.",6
Impressionism,claude-monet_boats-in-the-port-of-le-havre-1883,contentment,"The sailing ships make me feel content, it looks like the harbour of a peaceful village by the sea from days of yore.",6
Art_Nouveau_Modern,jules-cheret_exposition-universelle-1889-le-pays-des-fe-s-1889,amusement,It looks like the young lady has caused a fire passing gas with her leg up so high over the city,6
Baroque,mestre-ataã­de_agonia-e-morte-de-s-o-francisco,sadness,"The scene makes me think that the brown robed monk has expired, and I feel sad for him.  He is sitting next to a skull and an hourglass, both can be used as symbols for our own mortality and unavoidable death.",6
Realism,fyodor-vasilyev_before-the-rain-1871,something else,"Although the colors are very dark in the picture, there is an unspoken beauty and depth to it. It pulls you into the image, very pleasing to the eye.",6
Impressionism,childe-hassam_across-the-avenue-in-sunlight-june,awe,I love the contrast of colors in this piece. They look great.,5
Impressionism,childe-hassam_street-scene-christmas-morning,excitement,The impressionist quality makes it look like a snow storm is happening,6
Baroque,jacob-jordaens_adoration-of-the-magi,something else,"It's a very busy scene, you almost can't see the small Christ child in the middle.",6
Romanticism,george-frederick-watts_panoramic-landscape-with-a-farmhouse(1),contentment,"Very simple, but very pretty. The softness of the hills makes it look like a nice place to go.",6
Impressionism,claude-monet_cobeas,contentment,The yellow background contrasts well with the flowers.  It's peaceful to look at.,6
Romanticism,gustave-dore_back-to-the-thicket-slunk-the-guilty-serpent,fear,The snake I do not like at all and he's probably evil.,6
Romanticism,gustave-dore_venus,awe,The shading and contrast between light and dark really give this picture a sense of depth,6
Realism,henri-fantin-latour_flowers-in-a-clay-pot-1883,awe,The gorgeous colors of the flowers make me feel happy,6
Art_Nouveau_Modern,lawren-harris_afternoon-sun-lake-superior-1924,contentment,The pristine coastal scenery at golden sunset and the gently curved shapes are calming.,6
Abstract_Expressionism,sam-francis_untitled-1-1987,disgust,It looks like mold spores growing in circles across old stains on a coffee table - I can almost smell the mildew.,6
Symbolism,mikalojus-ciurlionis_mountain-1906,awe,The darker colors look like a canyon system covered by clouds,6
Baroque,jan-steen_baker-oostwaert-and-his-wife,amusement,"The painting has plenty of interesting little details.  I like the hanging pretzels.  I see a face to the right that is giving the baker an odd look.  The woman on the left has an odd headdress or hairdo, and I'm not sure which one it is.",6
Realism,henri-fantin-latour_flowers-dahlias-and-gladiolas-1879,sadness,The background of this painting is dark and the flowers look very gloomy,6
Naive_Art_Primitivism,pavel-filonov_landscape-with-two-animals,something else,"The animals look like they are having a nice time outside, anything with animals always makes me happy",6
Baroque,mario-nuzzi_fruit-garland-encircling-a-relief,excitement,This is a bountiful harvest of tasty fruits.,6
Expressionism,georges-braque_the-glass-of-lilac-1946,amusement,I love flowers and this depiction shows a beautiful colored floral piece with a vibrant background setting.,6
Baroque,jan-steen_wedding-of-sarah-and-tobias,amusement,It looks like the guy in the tunic is about to cook a little dragon.The other two are praying to thank the angel chef?It's silly religious mythology anyway.,6
Impressionism,childe-hassam_august-afternoon-appledore,sadness,Looks like a overcast day and brings a sad feeling right away to me,6
Naive_Art_Primitivism,pablo-picasso_nude-gathering-flowers-1958,disgust,the odd body shape and proportions make me uncomfortable,6
Symbolism,mikhail-vrubel_bogatyr-1898,something else,The color contrast is not good because it is hard to see the image.,6
Impressionism,childe-hassam_view-of-florence-from-san-miniato,contentment,Makes me feel calm from the peaceful view of the town and green trees.,12
Post_Impressionism,henri-matisse_woman-in-a-hat,contentment,The flowers on the hat are so pretty! They made me smile.,6
Symbolism,nicholas-roerich_himalayas-morning-1940,contentment,The mountains blend in with the color of the sky.,6
Post_Impressionism,henri-matisse_standing-nude,contentment,"Exposed, confident and not a care in the world.",6
Post_Impressionism,istvan-ilosvai-varga_forest-scene-with-colt-1940,something else,I am confused as to the meaning of this abstract painting.  There are some unique images in the background and the coloring is quite interested.,6
Impressionism,camille-pissarro_the-seine-at-marly-1871,contentment,The various areas of orange makes me think of a fall afternoon,6
Expressionism,iosif-iser_seated-woman-with-yellow-jacket,awe,The woman's style and posture make think she's powerful and in charge.,6
Expressionism,fred-williams_hillock-1966,disgust,"This painting looks like it is supposed to represent the earth, surrounding the sun. I think the trees or whatever is on the ""earth"" can be more detailed.",6
Abstract_Expressionism,sam-gilliam_red-linger-1972,awe,The vivid bright colors are full of life and remind me of paint wildly thrown on a wall or fireworks.,6
Abstract_Expressionism,willem-de-kooning_woman-4,something else,not a fan too smeary looking kinda looks like she naked but not sure,6
Naive_Art_Primitivism,raoul-dufy_open-window-1928,contentment,The painting is very appealing with the water and city in the background while the room is well decorated and has a high end look to it.,6
Romanticism,gustave-dore_don-quixote-110,fear,The subjects look evil or sorrowful in this painting,6
Art_Nouveau_Modern,koloman-moser_draft-for-the-space-of-the-austrian-state-printing-house-on-show-in-london-1906,anger,I feel anger because I dont understand how this is a piece of art when it looks like someone planning the back of a hotel front desk,6
Baroque,juan-de-valdes-leal_head-of-a-woman,fear,"She is in anticipation, perhaps not fear, but close. The shadows and waterly eyes all lend this feeling.",6
Expressionism,georges-braque_the-packing-case-1947,something else,This picture conveys a happy and bountiful feeling. The colors are bright and the cooking pots appear to be full of food.,11
Symbolism,mstislav-dobuzhinsky_monument-to-peter-the-great-1923,awe,The statue and its pose lends a feel of triumph to this work.,6
Romanticism,henryk-siemiradzki_night-on-the-eve-of-ivan-kupala,awe,"Love the detail and vivid color in this image, strikingly beautiful",6
Art_Nouveau_Modern,nicholas-roerich_costume-design-of-a-shipbuilder-for-peer-gynt-1912,awe,I love the bland background with the black of the persons clothes it makes it bright and stand out more,6
Naive_Art_Primitivism,niko-pirosmani_kakheti-epic-alazani-valley-2,sadness,I feel sorry for the hard working individual one the left withought a mule to carry his belongings.,6
Expressionism,george-mavroides_girl-wearing-white-dress-2000,fear,The dark style and angry face makes this feel scary and deep.,11
Romanticism,gustave-dore_don-quixote-49,fear,That thing in the top picture gives me the creeps not to mention all the creepy heads.,6
Symbolism,nicholas-roerich_lake-hyumpola,amusement,I like it.  It reminds me kinda of a  oasis where you might go for alone time,6
Symbolism,mikalojus-ciurlionis_lightning-1909,awe,Lightning bolts made of ice are searing the water with a burning cold/,6
Symbolism,nicholas-roerich_himalayas-sunny-contour-of-the-mountains-1939,awe,The organic peaks of this iceland make it come alive. the many blues were essential to this landscape depth.,6
Symbolism,nicholas-roerich_kangchenjunga-3,awe,"I love the ocean blue and dark blue at the bottom contrasting with the oranges and yellows of the clouds at the top. Its very pretty, reminds me again of sitting on top of a mountain and looking out across a landscape or something.",6
Post_Impressionism,maurice-utrillo_distillery-of-saint-denis,contentment,"I like the the way the tree leaves have a sharp shape towards them, they go well with the scene.",6
Art_Nouveau_Modern,jules-cheret_th-tre-de-l-op-ra-carnaval-1896-grand-veglione-de-gala-1896,amusement,Looks fun and playful. I like her green dress and long white gloves.,6
Abstract_Expressionism,richard-tuttle_waferboard-4-1996,something else,"I feel uncertainty.  I cannot really place what I see here, perhaps a cauldron of some sort?",11
Rococo,william-hogarth_inigo-jones,awe,The red in this man's lips and nose bring life to this painting.,6
Post_Impressionism,maurice-prendergast_new-england-harbour,excitement,There appears to be a community event that is bright and colorful and by all appearances 'happenin'. Makes me want to be there with them.,6
Expressionism,ion-pacea_peisaj-de-litoral-1973,disgust,Looks like an eye floating in blood which is gross,6
Expressionism,henri-matisse_harmony-in-red-1908,amusement,I am amused at the colors.  The red stands out as well as the colors in the fruit bowl.,6
Baroque,guido-reni_assumption-of-mary-1642,contentment,This painting is heavenly and angelic the blue robe the angel is wearing makes the painting appear calm,6
Expressionism,gulacsy-lajos_siege-of-a-castle-1910,something else,"Slight anxiety - it looks like an old painting of blood, fire, and lost travelers.",11
Expressionism,helene-schjerfbeck_the-fortune-teller-woman-in-yellow-dress-1926,amusement,The use of orange and white and how 5his painting gives the feeling blocks. I feel that i am seeing a painting of a woman although appears to in the shapes of blocks,6
Impressionism,childe-hassam_feeding-pigeons-in-the-piazza,contentment,"This is such a nice scene because of the light touch that the details were created with. All the figures look at ease and happy, the sky is a soft and bright color. The composition is also very soothing even with the smattering of birds at the right bottom corner.",6
Abstract_Expressionism,ronnie-landfield_red-line-painting-ii-1968,excitement,This piece excites me because of the assortment of colors and the color language used.,6
Romanticism,gustave-dore_elijah-destroys-the-messengers-of-ahaziah,fear,"The darkness of this picture and the bolt of lightening represents a dagger of fear, that is striking the people. The horses are in distress as are the injured all around.",6
Romanticism,gustave-dore_for-the-defense-of-christ,sadness,The colors are grey and the body language one of concern.,6
Impressionism,childe-hassam_in-the-garden-1889-1,awe,"The vivid colors of the flowers are nice, and the woman stands out by the single flower or necklace on her chest.",6
Baroque,ivan-nikitin_peter-i-1717,amusement,His head seems smaller than his body otherwise beautifully made i like the cothes he is wearing.,6
Symbolism,nicholas-roerich_dogra-yumtso,awe,"The various depths, shadows and light from the perspective of a rocky, snow covered mountain top.",6
Color_Field_Painting,william-scott_dark-brown-orange-and-white-1963,something else,I am confused as to the meaning of this rather abstract painting.,11
Realism,henri-fantin-latour_bouquet-of-roses-and-other-flowers-1889,sadness,This looks like flowers wilting in a funeral home that have not been tended to,6
Impressionism,camille-pissarro_the-court-house-pontoise-1873,awe,"Definitely looks like a scene from colonial times, I especially like the houses and landscape.",6
Post_Impressionism,ilya-mashkov_portrait-of-the-artist-s-wife-maria-ivanovna-mashkova-1923,awe,This painting makes me feel in awe because of the talent the artist shows.,6
Baroque,jacob-jordaens_the-father-of-the-psyche-consultants-of-oracle-in-the-temple-of-apollo-1652,awe,Looking from below up to the sky is a wonder. The golden reds add a depth and warmth to the scene,6
Realism,eugene-boudin_fine-weather-on-the-estuary,something else,the rain drops looks like rust and it it gives me and weird feeling about this painting.,6
Abstract_Expressionism,richard-tuttle_20-pearls-9-2003,something else,it confuses me a little bit but it kind of looks like two hands wrapped around an angel.,11
Realism,gustave-courbet_the-deer-1876,sadness,"I am not attracted to this artwork.  It makes me sad.  It's life, but not cool to put on a wall.",6
Post_Impressionism,ilya-mashkov_crimean-landscape-sudak,awe,The sky color reminds me of a pretty blue ocean that you can see the bottom because it's so clear.,6
Abstract_Expressionism,robert-goodnough_k-b-2-1992,excitement,It's fascinating how a bunch of simple shapes can form an image. What I see is a giant crowd with large signs and flags.,6
Art_Nouveau_Modern,nicholas-roerich_archangel-with-birds-1905,excitement,"There looks to be great detail in the patterns, and plays with the eye that there maybe a pattern within the pattern.  Looking at these details make me exited.",6
Art_Nouveau_Modern,mstislav-dobuzhinsky_city-types-city-grimaces-1908,disgust,The woman in the poster is extremely creepy,6
Expressionism,georges-rouault_self-portrait-1944,something else,This is not a bad picture I am just not sure how I feel about how the picture is put together I think his forehead is off and the lump in his neck which I assume would be his adams apple is not quiet right I think it takes away from the picture,6
Symbolism,mstislav-dobuzhinsky_gates-of-dawn-1914,contentment,i like the colors how the sky being reflected on the building,6
Realism,henri-fantin-latour_the-embroiderers-1895,something else,This is a very boring pic.  Nothing is going on.  It is just two women sitting at a table.,6
Symbolism,mikhail-nesterov_michael-s-vocation-to-the-realm-1885,disgust,the dark and dreary hall is enough to cause disgust,6
Romanticism,gustave-moreau_horseman,excitement,The racing horse gives a fast paced feeling.  The sky looks wicked.,6
Romanticism,gustave-dore_adam-and-eve,awe,I think this is Adam and Eve and it looks black and white but I see so many variations of black and white in it.,6
Baroque,joshua-reynolds_kitty-fisher-1759,contentment,Relaxed and enjoying the day. She looks at  peace,6
Expressionism,henri-matisse_the-reader-marguerite-matisse-1906,contentment,"Calm, contemplative image of girl with her thoughts lost in a book.",6
Symbolism,nicholas-roerich_hystaspes-shahnameh-1938,amusement,The bright colors are very playful. There is only lightness ahead for the rider.,6
Symbolism,nicholas-roerich_lake-karelian-landscape-1917,awe,The blue tones in this remind me of a calm winters day,6
Impressionism,camille-pissarro_vegetable-garden-in-eragny-overcast-sky-morning-1901,awe,"I love the greens, I love how they are all distinct in waht they are.",6
Realism,gustave-courbet_spring-stags-fighting-1861,sadness,the deep colors are powerful but the animals fighting is sad,6
Art_Nouveau_Modern,koloman-moser_design-for-the-bill-of-50-crowns-1911,contentment,The cool pastel blue and portrait as if on real currency is interesting.,6
Romanticism,gustave-dore_don-quixote-116,contentment,A nice duality of a man and a woman. She is drawn darker and he drawn lighter.,6
Realism,frederic-remington_charge-of-the-rough-riders-at-san-juan-hill-1898,sadness,It looks like men are running into a battle with a few guys who have already been injured. War is a very sad thing that shouldn't happen.,6
Realism,fyodor-bronnikov_the-garden-arbor-1880,amusement,The man with the umbrella looks like a short cranky Abe Lincoln,6
Realism,eugene-boudin_seascape-with-large-sky-1860,contentment,"It looks like a beautiful day to go sailing.  The water is very calm and still, and the weather looks pleasant with bright blue sky and friendly fluffy clouds.",6
Art_Nouveau_Modern,mikhail-vrubel_piet-1887,sadness,The encircled heads makes one think they are communicating without words.,11
Symbolism,nicholas-roerich_cloud-1915,awe,The fuzziness created by the charcoal in drawing the clouds is incredible looking.,6
Symbolism,maurice-denis_panel-6-psyche-s-kin-bid-her-farewell-on-a-mountain-top-1908,disgust,The persons in the painting appear to be at a greek orgy.,6
Abstract_Expressionism,walter-battiss_bosveld,fear,"The distorted lines and figures look like fearsome animals, or a heavy metal band logo.",6
Baroque,isaac-van-ostade_the-cut-pig,disgust,Why display a shield with red stains. Are they thrilled about violence and blood shed. Could be something else. Just no.,6
Art_Nouveau_Modern,jacek-malczewski_self-portrait-in-an-armour,awe,a lot of detail and good colors used,6
Expressionism,ilka-gedo_artificial-flower-with-falling-leaves-1970,contentment,"I am feeling very much content with this image. I like the abstract viewing of this image as it makes the viewer think about what it could be and come to their own conclusion. To me, I see a wave crashing into sand on a beach or a stone wall with Native American Paintings on it.",6
Cubism,stuart-davis_colonial-cubism-1954,something else,The jagged lines and bright color choices make this confusing.,6
Symbolism,mstislav-dobuzhinsky_naples-1911,amusement,The bright orange tones evoke a sense of excitment.,6
Abstract_Expressionism,robert-goodnough_two-seated-figures-1955,amusement,These colors look like a church stained glass window. They also remind me of Christmas lights. I like abstract art because you can imagine so many different things.,6
Realism,gustave-courbet_the-english-horse-of-m-duval,contentment,"Horse make for very pleasant portraits, and I feel happy looking at them.  This one has a fine form, and a handsome reddish tinge to its could - I would love to go riding on it.",6
Symbolism,nicholas-roerich_boundary-of-kingdoms-1916,contentment,"A bit confusing, but very interesting. The jagged linework compliments the jagged stone.",6
Impressionism,childe-hassam_old-dutch-building-fishkill-new-york,contentment,Looks like the home of a wealthy family in Mexico.,6
Romanticism,gustave-dore_the-inferno-canto-8-1,fear,Very scary scene where many people look to be fighting for life.,6
Romanticism,gustave-dore_a-voyage-to-the-moon,fear,The movement of the waves combined with the dark colors and a flying ship is scary,5
Realism,fyodor-vasilyev_on-the-island-valaam,contentment,Landscape is stunning and the water is beautiful.,6
Art_Nouveau_Modern,mikhail-vrubel_artist-s-son-1901,fear,The baby's face looks very frightenening as there is not much expression.,6
Color_Field_Painting,sam-francis_untitled-1954-1,contentment,Even though I cant understand I am sure it represents the sentiments of an artist.,11
Baroque,jan-steen_harpsichord-lesson-1660,contentment,"It looks like a father teaching his daughter the piano, it's a domestic scene.",6
Art_Nouveau_Modern,mikhail-vrubel_peacock,awe,"The piece looks like a wall painting from ancient Egypt some type of bird?  The paint looks like it has a mold on it but it still shows the bright oranges they used back then.  amazing something can last for 1,000's of years.",6
Naive_Art_Primitivism,william-h.-johnson_david-and-goliath-1944,excitement,The bright colors and the expressions of the people look excited,6
Post_Impressionism,maurice-prendergast_ponte-della-paglia-1899,excitement,The crush of people brightly dressed traveling over a bridge must be headed to something interesting.,6
Baroque,jusepe-de-ribera_the-holy-family-with-st-catherine-1648,awe,"I very much like the amount of work put into the peoples faces in this painting, they look similar but only in a good way.",6
Realism,guy-rose_still-life-jug-with-fruit-1888,contentment,"The warm tones feel very peaceful, the lighting reminds me of the golden hour.",6
Realism,gustav-klimt_portrait-of-a-girl-head-slightly-turned-left,sadness,"Beautiful and captivating expression, I can feel her sadness",5
Realism,gustave-courbet_the-reflection-1864,awe,The contrast of white and brown colors to bring to life this painting of this girl. The way she is holding her hair and her head slightly tilted gives the feeling of awe.,6
Art_Nouveau_Modern,konstantin-korovin_soldier-costume-design-for-gartman-s-ballet-1908,amusement,The pose of the figure and how slim he is are amusing.,6
Post_Impressionism,lovis-corinth_cat-s-breakfast-1913,awe,The paint and technique used to make the bottle seem reflective and like actual glass are incredible.,6
Baroque,jacob-jordaens_love-of-cupid-and-psyche-1652,something else,While it's interesting the angle use is disturbing.,6
Realism,grigoriy-myasoyedov_zemstvo-is-having-their-lunch-study,awe,Look like three wise men discussing something important.,6
Post_Impressionism,maurice-prendergast_april-snow-salem,something else,"I do not care for this painting, but there is a ship off in the distance that is painted in a muted grey that makes me think there is something more going on than the light-heartedness the painting shows.",6
Abstract_Expressionism,walter-battiss_untitled-1966,something else,This abstract painting reminds me of cave paintings I can not make out. I feel helpless to make any of it out.,6
Impressionism,childe-hassam_looking-towards-mount-adams-from-mount-hood,awe,The blue and white background looks like a mountain range.,6
Naive_Art_Primitivism,tarsila-do-amaral_a-cuca-1924,amusement,Reminds me of the Backyardigans - a show I used to watch with my youngest daughter,6
Baroque,johannes-vermeer_woman-reading-a-letter-woman-in-blue-reading-a-letter,contentment,"i like the look of this painting, the calm blues and greys.  The woman in this painting has a concerned look on her face, is she looking at a letter?  is it bad news?  I'd like to know more about who she is.",6
Abstract_Expressionism,richard-pousette-dart_window-of-unknowing-1976,something else,I am bored.  This looks like a TV without cable.,6
Baroque,jusepe-de-ribera_the-assumption-of-mary-magdalene-1636,awe,The spiritual sense conveyed by the cherubs seemingly lifting the woman to heaven.,6
Romanticism,gustave-dore_the-childhood-of-pantagruel,fear,"the people in the painting scare me a little bit because of the facial expressions they are making and the ""baby"" looks a little too old to be in a baby bed.",6
Naive_Art_Primitivism,tarsila-do-amaral_abaporu-1928(1),amusement,the size of the body parts and the bright colors,6
Impressionism,camille-pissarro_the-louvre-morning-sun-quai-malaquais-1903,contentment,It looks like a peaceful day with everyone moving about to get to their next destination.,6
Baroque,jacob-jordaens_the-flight-into-egypt-1641,awe,The crowd of people are looking up as if they see something wonderful.,6
Symbolism,mikhail-nesterov_tsarevich-dimitry-1899,contentment,"It looks like a monarch taking a break from their duties for a peaceful walk in the woods, though the palace still looms in the background.  It makes me feel contemplative and at peace.",6
Realism,gustave-courbet_the-wave,fear,Slight dread because of the upcoming dark clouds closing in with dark waves and mysterious boat,6
