art_style,painting,emotion,utterance,repetition,utterance_spelled,tokens,tokens_len,split,tokens_encoded,emotion_label
Realism,ilya-repin_emperor-nicholas-i-and-empress-alexandra-feodorovna-1908,amusement,This is great. The man standing by the tree with the top hat looks like a true gentleman but the one lying down by the bush looks like he's tired of being a father.,6,this is great the man standing by the tree with the top hat looks like a true gentleman but the one lying down by the bush looks like he's tired of being a father,"['this', 'is', 'great', 'the', 'man', 'standing', 'by', 'the', 'tree', 'with', 'the', 'top', 'hat', 'looks', 'like', 'a', 'true', 'gentleman', 'but', 'the', 'one', 'lying', 'down', 'by', 'the', 'bush', 'looks', 'like', ""he's"", 'tired', 'of', 'being', 'a', 'father']",34,train,"[1, 12, 8, 169, 4, 30, 314, 62, 4, 193, 19, 4, 239, 381, 15, 11, 6, 1509, 932, 33, 4, 81, 874, 132, 2]",0
Post_Impressionism,moise-kisling_portrait-of-jean-cocteau-1916,amusement,The man's overly serious posture makes him look hilarious for me.,5,the man's overly serious posture makes him look hilarious for me,"['the', ""man's"", 'overly', 'serious', 'posture', 'makes', 'him', 'look', 'hilarious', 'for', 'me']",11,train,"[1, 4, 146, 1639, 492, 564, 24, 148, 20, 1158, 34, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Realism,ilya-repin_follow-me-satan-1895,sadness,"It looks sad, because it looks like a demon is killing an angel or showing the angel something aweful",5,it looks sad because it looks like a demon is killing an angel or showing the angel something aweful,"['it', 'looks', 'sad', 'because', 'it', 'looks', 'like', 'a', 'demon', 'is', 'killing', 'an', 'angel', 'or', 'showing', 'the', 'angel', 'something', 'aweful']",19,train,"[1, 14, 15, 68, 57, 14, 15, 11, 6, 1245, 8, 1253, 37, 413, 51, 449, 4, 413, 73, 5563, 2, 0, 0, 0, 0]",7
Post_Impressionism,moise-kisling_reclining-nude-1919,fear,The lack of eyes in the woman's sockets gives a demonic vibe.,6,the lack of eyes in the woman's sockets gives a demonic vibe,"['the', 'lack', 'of', 'eyes', 'in', 'the', ""woman's"", 'sockets', 'gives', 'a', 'demonic', 'vibe']",12,train,"[1, 4, 374, 7, 93, 10, 4, 123, 5239, 139, 6, 1753, 1139, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Romanticism,ivan-aivazovsky_on-the-storm-1872,awe,The blurriness of the photo amidst the sailing depicts a will to fight on against all odds.,5,the blurriness of the photo amidst the sailing depicts a will to fight on against all odds,"['the', 'blurriness', 'of', 'the', 'photo', 'amidst', 'the', 'sailing', 'depicts', 'a', 'will', 'to', 'fight', 'on', 'against', 'all', 'odds']",17,train,"[1, 4, 2331, 7, 4, 253, 2497, 4, 800, 683, 6, 275, 9, 1025, 18, 207, 64, 5027, 2, 0, 0, 0, 0, 0, 0]",2
Post_Impressionism,moise-kisling_sagunto-1916,contentment,This reminds me of a South American jungle setting. It has very nice lively colors and the different colors of the mountains afar make me wondrous.,5,this reminds me of a south american jungle setting it has very nice lively colors and the different colors of the mountains afar make me wondrous,"['this', 'reminds', 'me', 'of', 'a', 'south', 'american', 'jungle', 'setting', 'it', 'has', 'very', 'nice', 'lively', 'colors', 'and', 'the', 'different', 'colors', 'of', 'the', 'mountains', 'afar', 'make', 'me', 'wondrous']",26,train,"[1, 12, 82, 16, 7, 6, 2942, 1520, 1775, 262, 14, 39, 23, 96, 701, 21, 5, 4, 178, 21, 7, 4, 255, 3346, 2]",3
Post_Impressionism,moise-kisling_small-head-1947,fear,The woman has a extremely large eyes that make her seem creepy.,6,the woman has a extremely large eyes that make her seem creepy,"['the', 'woman', 'has', 'a', 'extremely', 'large', 'eyes', 'that', 'make', 'her', 'seem', 'creepy']",12,train,"[1, 4, 31, 39, 6, 757, 210, 93, 26, 41, 27, 78, 276, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Romanticism,ivan-aivazovsky_dante-shows-the-artist-in-the-unusual-clouds-1883,awe,The dark fog in the valley is in sharp contrast to the light sky.,5,the dark fog in the valley is in sharp contrast to the light sky,"['the', 'dark', 'fog', 'in', 'the', 'valley', 'is', 'in', 'sharp', 'contrast', 'to', 'the', 'light', 'sky']",14,train,"[1, 4, 47, 975, 10, 4, 1662, 8, 10, 473, 144, 9, 4, 112, 77, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Realism,henri-matisse_the-dinner-table-1897,something else,"the color palette used on this makes this scene seem very depressing and dark, even though the food is meant to be celebratory.",5,the color palette used on this makes this scene seem very depressing and dark even though the food is meant to be celebratory,"['the', 'color', 'palette', 'used', 'on', 'this', 'makes', 'this', 'scene', 'seem', 'very', 'depressing', 'and', 'dark', 'even', 'though', 'the', 'food', 'is', 'meant', 'to', 'be', 'celebratory']",23,train,"[1, 4, 53, 772, 173, 18, 12, 24, 12, 52, 78, 23, 490, 5, 47, 168, 164, 4, 602, 8, 1334, 9, 28, 2342, 2]",8
Post_Impressionism,moise-kisling_vase-of-mimosa-1952,contentment,YELLOW FLOWERS ARE NICE CONTRAST TO BLUE BACKGROUND VERY REFRESHING,5,yellow flowers are nice contrast to blue background very refreshing,"['yellow', 'flowers', 'are', 'nice', 'contrast', 'to', 'blue', 'background', 'very', 'refreshing']",10,train,"[1, 121, 91, 17, 96, 144, 9, 63, 75, 23, 2273, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Post_Impressionism,moise-kisling_young-blond-boy-1937,disgust,I find this child to be creepy looking and alien like.,5,i find this child to be creepy looking and alien like,"['i', 'find', 'this', 'child', 'to', 'be', 'creepy', 'looking', 'and', 'alien', 'like']",11,train,"[1, 13, 232, 12, 140, 9, 28, 276, 59, 5, 1313, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
Realism,ilya-repin_portrait-of-sculptor-mark-matveevich-antokolski-1914,fear,The man looks like he's going to whip someone into obedience.,5,the man looks like he's going to whip someone into obedience,"['the', 'man', 'looks', 'like', ""he's"", 'going', 'to', 'whip', 'someone', 'into', 'obedience']",11,train,"[1, 4, 30, 15, 11, 223, 115, 9, 3329, 171, 129, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Realism,ilya-repin_landscape-of-the-volga-with-boats-1870,contentment,The dull gray sky makes me feel relaxed and sleepy for some reason.,6,the dull gray sky makes me feel relaxed and sleepy for some reason,"['the', 'dull', 'gray', 'sky', 'makes', 'me', 'feel', 'relaxed', 'and', 'sleepy', 'for', 'some', 'reason']",13,train,"[1, 4, 460, 431, 77, 24, 16, 25, 240, 5, 2287, 34, 97, 627, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Realism,henry-herbert-la-thangue_the-last-furro-1895,sadness,"The man looks like he's having a difficult time with something, and it's making me feel stressed - even though he looks like he's working very hard.gh the",5,the man looks like he's having a difficult time with something and it's making me feel stressed even though he looks like he's working very hard gh the,"['the', 'man', 'looks', 'like', ""he's"", 'having', 'a', 'difficult', 'time', 'with', 'something', 'and', ""it's"", 'making', 'me', 'feel', 'stressed', 'even', 'though', 'he', 'looks', 'like', ""he's"", 'working', 'very', 'hard', 'gh', 'the']",28,train,"[1, 4, 30, 15, 11, 223, 254, 6, 899, 125, 19, 73, 5, 56, 284, 16, 25, 2677, 168, 164, 45, 15, 11, 223, 2]",7
Realism,ilya-repin_portrait-of-t-l-tolstaya-1893,amusement,the women looks as if she's excited to get her picture painted,5,the women looks as if she's excited to get her picture painted,"['the', 'women', 'looks', 'as', 'if', ""she's"", 'excited', 'to', 'get', 'her', 'picture', 'painted']",12,train,"[1, 4, 147, 15, 32, 79, 277, 287, 9, 246, 27, 54, 269, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Romanticism,ivan-aivazovsky_rush-on-dnepr-near-aleshki-1857,contentment,The sunrise appear to be like a distant forest fire.,5,the sunrise appear to be like a distant forest fire,"['the', 'sunrise', 'appear', 'to', 'be', 'like', 'a', 'distant', 'forest', 'fire']",10,train,"[1, 4, 2007, 221, 9, 28, 11, 6, 1840, 298, 436, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,ivan-aivazovsky_russian-turkish-sea-battle-of-sinop-on-18th-november-1853-1853,awe,"With the light behind them and a battle in the foreground, I would feel overwhelmed or terrified to see this line of ships coming at me.",5,with the light behind them and a battle in the foreground i would feel overwhelmed or terrified to see this line of ships coming at me,"['with', 'the', 'light', 'behind', 'them', 'and', 'a', 'battle', 'in', 'the', 'foreground', 'i', 'would', 'feel', 'overwhelmed', 'or', 'terrified', 'to', 'see', 'this', 'line', 'of', 'ships', 'coming', 'at', 'me']",26,train,"[1, 19, 4, 112, 267, 159, 5, 6, 450, 10, 4, 486, 13, 128, 25, 2893, 51, 5316, 9, 85, 12, 478, 7, 448, 2]",2
Romanticism,ivan-aivazovsky_sailboat-1859,fear,The boats are battling a rough sea during the sunset while a storm is moving nearer.,5,the boats are battling a rough sea during the sunset while a storm is moving nearer,"['the', 'boats', 'are', 'battling', 'a', 'rough', 'sea', 'during', 'the', 'sunset', 'while', 'a', 'storm', 'is', 'moving', 'nearer']",16,train,"[1, 4, 354, 17, 3368, 6, 593, 324, 769, 4, 452, 137, 6, 383, 8, 689, 3, 2, 0, 0, 0, 0, 0, 0, 0]",6
Realism,horia-bernea_landscape-with-column-1987,amusement,The plants are very well painted with the ground.,6,the plants are very well painted with the ground,"['the', 'plants', 'are', 'very', 'well', 'painted', 'with', 'the', 'ground']",9,train,"[1, 4, 678, 17, 23, 86, 269, 19, 4, 288, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Realism,ilya-repin_men-s-heads,awe,The men's fancy clothes and ties make them seem important figures.,6,the men's fancy clothes and ties make them seem important figures,"['the', ""men's"", 'fancy', 'clothes', 'and', 'ties', 'make', 'them', 'seem', 'important', 'figures']",11,train,"[1, 4, 2601, 721, 359, 5, 3766, 41, 159, 78, 399, 188, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Realism,ilya-repin_portrait-of-the-author-leonid-andreev-1904,something else,"Curious?  Why the stern look on his face? Paint marks of purples and reds on his white shirt, is he an artist?",5,curious why the stern look on his face paint marks of purples and reds on his white shirt is he an artist,"['curious', 'why', 'the', 'stern', 'look', 'on', 'his', 'face', 'paint', 'marks', 'of', 'purples', 'and', 'reds', 'on', 'his', 'white', 'shirt', 'is', 'he', 'an', 'artist']",22,train,"[1, 337, 279, 4, 895, 20, 18, 36, 42, 252, 1861, 7, 1719, 5, 584, 18, 36, 65, 989, 8, 45, 37, 155, 2, 0]",8
Realism,ilya-repin_portrait-of-the-composer-modest-musorgsky-1881,amusement,"I like how imperfect the depiction of the man is. Unkempt hair and beard, flushed tired facial expression.",5,i like how imperfect the depiction of the man is unkempt hair and beard flushed tired facial expression,"['i', 'like', 'how', 'imperfect', 'the', 'depiction', 'of', 'the', 'man', 'is', 'unkempt', 'hair', 'and', 'beard', 'flushed', 'tired', 'facial', 'expression']",18,train,"[1, 13, 11, 76, 6272, 4, 528, 7, 4, 30, 8, 3312, 200, 5, 681, 4777, 556, 211, 102, 2, 0, 0, 0, 0, 0]",0
Realism,ilya-repin_old-farmer-1885,contentment,"This is a very relaxing image. There is a lot of green, but the different shades are pleasing to the eye and have a lot of depth.",5,this is a very relaxing image there is a lot of green but the different shades are pleasing to the eye and have a lot of depth,"['this', 'is', 'a', 'very', 'relaxing', 'image', 'there', 'is', 'a', 'lot', 'of', 'green', 'but', 'the', 'different', 'shades', 'are', 'pleasing', 'to', 'the', 'eye', 'and', 'have', 'a', 'lot', 'of', 'depth']",27,train,"[1, 12, 8, 6, 23, 187, 80, 48, 8, 6, 167, 7, 100, 33, 4, 178, 376, 17, 454, 9, 4, 270, 5, 70, 2]",3
Realism,ilya-mashkov_apples-and-pomegranates-1939,contentment,"It looks dutch, simple, accurate, peaceful.",5,it looks dutch simple accurate peaceful,"['it', 'looks', 'dutch', 'simple', 'accurate', 'peaceful']",6,train,"[1, 14, 15, 5950, 163, 4466, 90, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,ivan-aivazovsky_sea-coast-1861,awe,Amazing shine of the light through the clouds on the ocean. The tree behind the red flag of the ship looks lush and it makes me believe that they arrived at a tropical paradise.,5,amazing shine of the light through the clouds on the ocean the tree behind the red flag of the ship looks lush and it makes me believe that they arrived at a tropical paradise,"['amazing', 'shine', 'of', 'the', 'light', 'through', 'the', 'clouds', 'on', 'the', 'ocean', 'the', 'tree', 'behind', 'the', 'red', 'flag', 'of', 'the', 'ship', 'looks', 'lush', 'and', 'it', 'makes', 'me', 'believe', 'that', 'they', 'arrived', 'at', 'a', 'tropical', 'paradise']",34,train,"[1, 265, 1388, 7, 4, 112, 198, 4, 218, 18, 4, 365, 4, 193, 267, 4, 66, 973, 7, 4, 506, 15, 761, 5, 2]",2
Romanticism,ivan-aivazovsky_landscape-with-a-sailboat,contentment,"Simple, but nice. Good depiction of cumulus nimbus clouds and a happy little ship to compliment it all.",5,simple but nice good depiction of cumulus nimbus clouds and a happy little ship to compliment it all,"['simple', 'but', 'nice', 'good', 'depiction', 'of', 'cumulus', 'nimbus', 'clouds', 'and', 'a', 'happy', 'little', 'ship', 'to', 'compliment', 'it', 'all']",18,train,"[1, 163, 33, 96, 130, 528, 7, 3, 3, 218, 5, 6, 87, 103, 506, 9, 1686, 14, 64, 2, 0, 0, 0, 0, 0]",3
Realism,ilya-mashkov_fruits-from-the-agricultural-exhibition-1939,contentment,I love fruit and a buffet like this is pleasing.,5,i love fruit and a buffet like this is pleasing,"['i', 'love', 'fruit', 'and', 'a', 'buffet', 'like', 'this', 'is', 'pleasing']",10,train,"[1, 13, 61, 312, 5, 6, 3, 11, 12, 8, 454, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,ivan-aivazovsky_landscape-with-vesuvius-1896,fear,The way the waves are breaking around the boat is threatening.,5,the way the waves are breaking around the boat is threatening,"['the', 'way', 'the', 'waves', 'are', 'breaking', 'around', 'the', 'boat', 'is', 'threatening']",11,train,"[1, 4, 67, 4, 342, 17, 3037, 138, 4, 235, 8, 909, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Realism,ilya-mashkov_grapes,contentment,"This just looks delicious and colorful. Everything on the table looks very detailed, enough so to want to taste.",5,this just looks delicious and colorful everything on the table looks very detailed enough so to want to taste,"['this', 'just', 'looks', 'delicious', 'and', 'colorful', 'everything', 'on', 'the', 'table', 'looks', 'very', 'detailed', 'enough', 'so', 'to', 'want', 'to', 'taste']",19,train,"[1, 12, 60, 15, 1282, 5, 243, 292, 18, 4, 264, 15, 23, 283, 518, 35, 9, 152, 9, 1896, 2, 0, 0, 0, 0]",3
Realism,ilya-repin_on-the-terrace-1908,contentment,I see people taking a break in the afternoon to talk and enjoy the remainder of a summer day,5,i see people taking a break in the afternoon to talk and enjoy the remainder of a summer day,"['i', 'see', 'people', 'taking', 'a', 'break', 'in', 'the', 'afternoon', 'to', 'talk', 'and', 'enjoy', 'the', 'remainder', 'of', 'a', 'summer', 'day']",19,train,"[1, 13, 85, 40, 406, 6, 1212, 10, 4, 943, 9, 2295, 5, 338, 4, 3, 7, 6, 394, 94, 2, 0, 0, 0, 0]",3
Realism,ilya-repin_ortrait-of-vice-minister-of-the-interior-cavalry-general-and-member-of-state-council-count-1902,awe,"The man's fancy suit, medals, and gilded chair makes him seem important.",6,the man's fancy suit medals and gilded chair makes him seem important,"['the', ""man's"", 'fancy', 'suit', 'medals', 'and', 'gilded', 'chair', 'makes', 'him', 'seem', 'important']",12,train,"[1, 4, 146, 721, 804, 2597, 5, 6137, 559, 24, 148, 78, 399, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Realism,ilya-repin_peter-the-great-on-the-hunt,something else,this is a very dedicated game of cowboys and indians,5,this is a very dedicated game of cowboys and indians,"['this', 'is', 'a', 'very', 'dedicated', 'game', 'of', 'cowboys', 'and', 'indians']",10,train,"[1, 12, 8, 6, 23, 3974, 977, 7, 3, 5, 3563, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
Romanticism,ivan-aivazovsky_lunar-night-at-the-sea-1875,something else,"The moon is so very bright, leaving a trail of light on the sea, and lighting up the building in the foreground just enough so you can plainly make out its shapes.  What a feeling of wonder.",5,the moon is so very bright leaving a trail of light on the sea and lighting up the building in the foreground just enough so you can plainly make out its shapes what a feeling of wonder,"['the', 'moon', 'is', 'so', 'very', 'bright', 'leaving', 'a', 'trail', 'of', 'light', 'on', 'the', 'sea', 'and', 'lighting', 'up', 'the', 'building', 'in', 'the', 'foreground', 'just', 'enough', 'so', 'you', 'can', 'plainly', 'make', 'out', 'its', 'shapes', 'what', 'a', 'feeling', 'of', 'wonder']",37,train,"[1, 4, 724, 8, 35, 23, 69, 1255, 6, 1507, 7, 112, 18, 4, 324, 5, 508, 106, 4, 329, 10, 4, 486, 60, 2]",8
Realism,ilya-repin_portrait-of-a-bearded-peasant-1879,sadness,"There's nothing overly sad about this, but the colors used on it make me feel a little blue.",5,there's nothing overly sad about this but the colors used on it make me feel a little blue,"[""there's"", 'nothing', 'overly', 'sad', 'about', 'this', 'but', 'the', 'colors', 'used', 'on', 'it', 'make', 'me', 'feel', 'a', 'little', 'blue']",18,train,"[1, 356, 256, 1639, 68, 72, 12, 33, 4, 21, 173, 18, 14, 41, 16, 25, 6, 103, 63, 2, 0, 0, 0, 0, 0]",7
Realism,ilya-mashkov_still-life-1938,excitement,The sliced orange and lemon sitting next to a glass of wine evokes the taste of the combination.,5,the sliced orange and lemon sitting next to a glass of wine evokes the taste of the combination,"['the', 'sliced', 'orange', 'and', 'lemon', 'sitting', 'next', 'to', 'a', 'glass', 'of', 'wine', 'evokes', 'the', 'taste', 'of', 'the', 'combination']",18,train,"[1, 4, 4317, 213, 5, 2100, 214, 402, 9, 6, 748, 7, 1142, 646, 4, 1896, 7, 4, 742, 2, 0, 0, 0, 0, 0]",5
Romanticism,ivan-aivazovsky_sunset-at-the-crimean-coast-1856,awe,The setting sun is creating a lovely variety of hues to look at.,5,the setting sun is creating a lovely variety of hues to look at,"['the', 'setting', 'sun', 'is', 'creating', 'a', 'lovely', 'variety', 'of', 'hues', 'to', 'look', 'at']",13,train,"[1, 4, 262, 197, 8, 969, 6, 234, 1106, 7, 955, 9, 20, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Realism,ilya-repin_portrait-of-v-k-pleve-1902,something else,"This is a very boring painting, though you can tell that the man is a serious I just am not interested in it at all because of the muted colors.",5,this is a very boring painting though you can tell that the man is a serious i just am not interested in it at all because of the muted colors,"['this', 'is', 'a', 'very', 'boring', 'painting', 'though', 'you', 'can', 'tell', 'that', 'the', 'man', 'is', 'a', 'serious', 'i', 'just', 'am', 'not', 'interested', 'in', 'it', 'at', 'all', 'because', 'of', 'the', 'muted', 'colors']",30,train,"[1, 12, 8, 6, 23, 325, 22, 164, 84, 101, 290, 26, 4, 30, 8, 6, 492, 13, 60, 95, 46, 792, 10, 14, 2]",8
Realism,ilya-repin_portrait-of-v-stasov-1905,sadness,The way the old man is holding the red sash it looks like he just stabbed his torso with a blade.,5,the way the old man is holding the red sash it looks like he just stabbed his torso with a blade,"['the', 'way', 'the', 'old', 'man', 'is', 'holding', 'the', 'red', 'sash', 'it', 'looks', 'like', 'he', 'just', 'stabbed', 'his', 'torso', 'with', 'a', 'blade']",21,train,"[1, 4, 67, 4, 153, 30, 8, 225, 4, 66, 4282, 14, 15, 11, 45, 60, 3285, 36, 2481, 19, 6, 4529, 2, 0, 0]",7
Romanticism,ivan-aivazovsky_seascape-2,contentment,The ships appear to be sailing on a grand journey to the unknown.,5,the ships appear to be sailing on a grand journey to the unknown,"['the', 'ships', 'appear', 'to', 'be', 'sailing', 'on', 'a', 'grand', 'journey', 'to', 'the', 'unknown']",13,train,"[1, 4, 448, 221, 9, 28, 800, 18, 6, 978, 1008, 9, 4, 1438, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,ivan-aivazovsky_seascape-in-crimea-1866,excitement,A pair of humans on the beach views sailing ships as they are tossed wildly about by the violent waves of an angry sea.,5,a pair of humans on the beach views sailing ships as they are tossed wildly about by the violent waves of an angry sea,"['a', 'pair', 'of', 'humans', 'on', 'the', 'beach', 'views', 'sailing', 'ships', 'as', 'they', 'are', 'tossed', 'wildly', 'about', 'by', 'the', 'violent', 'waves', 'of', 'an', 'angry', 'sea']",24,train,"[1, 6, 1871, 7, 1186, 18, 4, 373, 5386, 800, 448, 32, 43, 17, 4389, 7299, 72, 62, 4, 995, 342, 7, 37, 316, 2]",5
Romanticism,ivan-aivazovsky_seascape-koktebel-1889,awe,The setting sun looks peaceful while the waters are turbulent.,5,the setting sun looks peaceful while the waters are turbulent,"['the', 'setting', 'sun', 'looks', 'peaceful', 'while', 'the', 'waters', 'are', 'turbulent']",10,train,"[1, 4, 262, 197, 15, 90, 137, 4, 618, 17, 5357, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Romanticism,ivan-aivazovsky_tempest-on-the-northern-sea-1865,awe,The golden light shining down onto the ocean makes for a holy scene.,5,the golden light shining down onto the ocean makes for a holy scene,"['the', 'golden', 'light', 'shining', 'down', 'onto', 'the', 'ocean', 'makes', 'for', 'a', 'holy', 'scene']",13,train,"[1, 4, 546, 112, 665, 132, 905, 4, 365, 24, 34, 6, 873, 52, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Symbolism,nicholas-roerich_marvelous-miracle-to-the-feat-1937,awe,this reminds me of my vacation to the mountains,5,this reminds me of my vacation to the mountains,"['this', 'reminds', 'me', 'of', 'my', 'vacation', 'to', 'the', 'mountains']",9,train,"[1, 12, 82, 16, 7, 105, 994, 9, 4, 255, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Symbolism,nicholas-roerich_remember-1924,awe,In awe of so many things - the smallness of the horse and rider; the feeling he must have leaving his village; the magnificent mountains.,6,in awe of so many things the smallness of the horse and rider the feeling he must have leaving his village the magnificent mountains,"['in', 'awe', 'of', 'so', 'many', 'things', 'the', 'smallness', 'of', 'the', 'horse', 'and', 'rider', 'the', 'feeling', 'he', 'must', 'have', 'leaving', 'his', 'village', 'the', 'magnificent', 'mountains']",24,train,"[1, 10, 179, 7, 35, 203, 348, 4, 6962, 7, 4, 224, 5, 1489, 4, 104, 45, 516, 70, 1255, 36, 386, 4, 1424, 2]",2
Romanticism,ivan-aivazovsky_the-bay-of-naples-in-the-morning-1843,awe,The bright colors are strangely inspiring and hopeful.,5,the bright colors are strangely inspiring and hopeful,"['the', 'bright', 'colors', 'are', 'strangely', 'inspiring', 'and', 'hopeful']",8,train,"[1, 4, 69, 21, 17, 2006, 581, 5, 1702, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Symbolism,nicholas-roerich_river-chandra-1933,something else,I am bored by this because there is not enough of a subject matter to hold my attention and interest,5,i am bored by this because there is not enough of a subject matter to hold my attention and interest,"['i', 'am', 'bored', 'by', 'this', 'because', 'there', 'is', 'not', 'enough', 'of', 'a', 'subject', 'matter', 'to', 'hold', 'my', 'attention', 'and', 'interest']",20,train,"[1, 13, 95, 332, 62, 12, 57, 48, 8, 46, 518, 7, 6, 227, 762, 9, 1290, 105, 485, 5, 731, 2, 0, 0, 0]",8
Romanticism,ivan-aivazovsky_ships-in-the-stormy-sea-sunrise-1871,fear,the gray skies and rough seas make me afraid that boats might sink,5,the gray skies and rough seas make me afraid that boats might sink,"['the', 'gray', 'skies', 'and', 'rough', 'seas', 'make', 'me', 'afraid', 'that', 'boats', 'might', 'sink']",13,train,"[1, 4, 431, 802, 5, 593, 2135, 41, 16, 644, 26, 354, 461, 3268, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Symbolism,nicholas-roerich_sword-of-gesar-1932,awe,The stones on the hills of the mountains remind me of tombstones of heroes.,5,the stones on the hills of the mountains remind me of tombstones of heroes,"['the', 'stones', 'on', 'the', 'hills', 'of', 'the', 'mountains', 'remind', 'me', 'of', 'tombstones', 'of', 'heroes']",14,train,"[1, 4, 2947, 18, 4, 750, 7, 4, 255, 226, 16, 7, 5338, 7, 6228, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Symbolism,nicholas-roerich_rocks-with-buddhist-caves,contentment,The rocky mountains remind me of my vacations in America.,7,the rocky mountains remind me of my vacations in america,"['the', 'rocky', 'mountains', 'remind', 'me', 'of', 'my', 'vacations', 'in', 'america']",10,train,"[1, 4, 1990, 255, 226, 16, 7, 105, 5377, 10, 3840, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,ivan-aivazovsky_the-coast-at-amalfi-1841,contentment,"The man sailing to shore, the bright yellow clouds, it makes me feel at peace",5,the man sailing to shore the bright yellow clouds it makes me feel at peace,"['the', 'man', 'sailing', 'to', 'shore', 'the', 'bright', 'yellow', 'clouds', 'it', 'makes', 'me', 'feel', 'at', 'peace']",15,train,"[1, 4, 30, 800, 9, 707, 4, 69, 121, 218, 14, 24, 16, 25, 29, 274, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3
Symbolism,nicholas-roerich_mongolia-chakhar-hills-1936,contentment,The hazy clouds overhead seem rather calming and soothing for me.,6,the hazy clouds overhead seem rather calming and soothing for me,"['the', 'hazy', 'clouds', 'overhead', 'seem', 'rather', 'calming', 'and', 'soothing', 'for', 'me']",11,train,"[1, 4, 1325, 218, 2621, 78, 405, 199, 5, 368, 34, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,ivan-aivazovsky_the-monastery-of-george-cape-fiolent-1846,something else,this makes me feel calm the moon over the water,5,this makes me feel calm the moon over the water,"['this', 'makes', 'me', 'feel', 'calm', 'the', 'moon', 'over', 'the', 'water']",10,train,"[1, 12, 24, 16, 25, 109, 4, 724, 120, 4, 71, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
Symbolism,nicholas-roerich_sacred-himalayas-1934-2,contentment,"Parts of the image look cheap, but some like the blacks and the ice mountain look great.",5,parts of the image look cheap but some like the blacks and the ice mountain look great,"['parts', 'of', 'the', 'image', 'look', 'cheap', 'but', 'some', 'like', 'the', 'blacks', 'and', 'the', 'ice', 'mountain', 'look', 'great']",17,train,"[1, 690, 7, 4, 80, 20, 4582, 33, 97, 11, 4, 1396, 5, 4, 1251, 361, 20, 169, 2, 0, 0, 0, 0, 0, 0]",3
Romanticism,ivan-aivazovsky_the-shipwreck-1864-1,excitement,Wow incredibly realistic painting which thrusts us into a terrible situation where men are desperately clawing for their lives. Quite a scene.,5,wow incredibly realistic painting which thrusts us into a terrible situation where men are desperately clawing for their lives quite a scene,"['wow', 'incredibly', 'realistic', 'painting', 'which', 'thrusts', 'us', 'into', 'a', 'terrible', 'situation', 'where', 'men', 'are', 'desperately', 'clawing', 'for', 'their', 'lives', 'quite', 'a', 'scene']",22,train,"[1, 1143, 916, 260, 22, 107, 3, 829, 129, 6, 1588, 1032, 248, 170, 17, 3979, 3, 34, 88, 1029, 117, 6, 52, 2, 0]",5
